Jan-17,,
Day,Time,Height
,,(m)
15,2:47 PM,4.5
15,8:34 PM,3.3
16,1:13 AM,4.1
16,8:21 AM,1.2
16,3:38 PM,4.6
16,9:34 PM,3.1
17,2:23 AM,4.1
17,9:17 AM,1.3
17,4:20 PM,4.7
17,10:21 PM,2.8
18,3:27 AM,4.2
18,10:06 AM,1.4
18,4:57 PM,4.8
18,11:02 PM,2.6
19,4:27 AM,4.3
19,10:52 AM,1.5
19,5:30 PM,4.8
19,11:41 PM,2.3
20,5:22 AM,4.4
20,11:35 AM,1.7
20,6:02 PM,4.8
21,12:18 AM,2.1
21,6:13 AM,4.5
21,12:18 PM,2
21,6:33 PM,4.7
22,12:54 AM,1.9
22,7:02 AM,4.5
22,12:59 PM,2.3
22,7:04 PM,4.6
23,1:32 AM,1.8
23,7:50 AM,4.5
23,1:42 PM,2.6
23,7:34 PM,4.5
24,2:10 AM,1.7
24,8:41 AM,4.4
24,2:25 PM,2.9
24,8:04 PM,4.3
25,2:49 AM,1.7
25,9:37 AM,4.3
25,3:13 PM,3.1
25,8:35 PM,4.1
26,3:30 AM,1.7
26,10:40 AM,4.2
26,4:12 PM,3.3
26,9:08 PM,3.9
27,4:16 AM,1.8
27,11:54 AM,4.2
27,5:35 PM,3.4
27,9:50 PM,3.8
28,5:08 AM,1.8
28,1:07 PM,4.2
28,7:09 PM,3.4
28,10:54 PM,3.7
29,6:10 AM,1.9
29,2:07 PM,4.2
29,8:18 PM,3.3
30,12:17 AM,3.6
30,7:16 AM,1.9
30,2:52 PM,4.3
30,9:06 PM,3.2
Oct-17,,
Day,Time,Height
,,(m)
1,1:29 AM,3.7
1,8:13 AM,1.9
1,3:29 PM,4.4
1,9:42 PM,3
2,2:29 AM,3.8
2,9:02 AM,1.9
2,4:00 PM,4.5
