site,code,ibutton_no,date_time,date,time,temperature
ruckle,1,r1.,2018-06-27T13:06:00Z,2018-06-27T07:00:00Z,13:06:00,32
ruckle,1,r1.,2018-06-27T13:36:00Z,2018-06-27T07:00:00Z,13:36:00,27.5
ruckle,1,r1.,2018-06-27T14:06:00Z,2018-06-27T07:00:00Z,14:06:00,24
ruckle,1,r1.,2018-06-27T14:36:00Z,2018-06-27T07:00:00Z,14:36:00,14
ruckle,1,r1.,2018-06-27T15:06:00Z,2018-06-27T07:00:00Z,15:06:00,13.5
ruckle,1,r1.,2018-06-27T15:36:00Z,2018-06-27T07:00:00Z,15:36:00,13
ruckle,1,r1.,2018-06-27T16:06:00Z,2018-06-27T07:00:00Z,16:06:00,12.5
ruckle,1,r1.,2018-06-27T16:36:00Z,2018-06-27T07:00:00Z,16:36:00,12.5
ruckle,1,r1.,2018-06-27T17:06:00Z,2018-06-27T07:00:00Z,17:06:00,12.5
ruckle,1,r1.,2018-06-27T17:36:00Z,2018-06-27T07:00:00Z,17:36:00,12
ruckle,1,r1.,2018-06-27T18:06:00Z,2018-06-27T07:00:00Z,18:06:00,12
ruckle,1,r1.,2018-06-27T18:36:00Z,2018-06-27T07:00:00Z,18:36:00,11.5
ruckle,1,r1.,2018-06-27T19:06:00Z,2018-06-27T07:00:00Z,19:06:00,11.5
ruckle,1,r1.,2018-06-27T19:36:00Z,2018-06-27T07:00:00Z,19:36:00,12
ruckle,1,r1.,2018-06-27T20:06:00Z,2018-06-27T07:00:00Z,20:06:00,12
ruckle,1,r1.,2018-06-27T20:36:00Z,2018-06-27T07:00:00Z,20:36:00,12
ruckle,1,r1.,2018-06-27T21:06:00Z,2018-06-27T07:00:00Z,21:06:00,12
ruckle,1,r1.,2018-06-27T21:36:00Z,2018-06-27T07:00:00Z,21:36:00,12
ruckle,1,r1.,2018-06-27T22:06:00Z,2018-06-27T07:00:00Z,22:06:00,12
ruckle,1,r1.,2018-06-27T22:36:00Z,2018-06-27T07:00:00Z,22:36:00,12
ruckle,1,r1.,2018-06-27T23:06:00Z,2018-06-27T07:00:00Z,23:06:00,12
ruckle,1,r1.,2018-06-27T23:36:00Z,2018-06-27T07:00:00Z,23:36:00,12
ruckle,1,r1.,2018-06-28T00:06:00Z,2018-06-28T07:00:00Z,00:06:00,12.5
ruckle,1,r1.,2018-06-28T00:36:00Z,2018-06-28T07:00:00Z,00:36:00,12.5
ruckle,1,r1.,2018-06-28T01:06:00Z,2018-06-28T07:00:00Z,01:06:00,12.5
ruckle,1,r1.,2018-06-28T01:36:00Z,2018-06-28T07:00:00Z,01:36:00,12.5
ruckle,1,r1.,2018-06-28T02:06:00Z,2018-06-28T07:00:00Z,02:06:00,12.5
ruckle,1,r1.,2018-06-28T02:36:00Z,2018-06-28T07:00:00Z,02:36:00,12
ruckle,1,r1.,2018-06-28T03:06:00Z,2018-06-28T07:00:00Z,03:06:00,12.5
ruckle,1,r1.,2018-06-28T03:36:00Z,2018-06-28T07:00:00Z,03:36:00,12.5
ruckle,1,r1.,2018-06-28T04:06:00Z,2018-06-28T07:00:00Z,04:06:00,12.5
ruckle,1,r1.,2018-06-28T04:36:00Z,2018-06-28T07:00:00Z,04:36:00,12.5
ruckle,1,r1.,2018-06-28T05:06:00Z,2018-06-28T07:00:00Z,05:06:00,12.5
ruckle,1,r1.,2018-06-28T05:36:00Z,2018-06-28T07:00:00Z,05:36:00,12.5
ruckle,1,r1.,2018-06-28T06:06:00Z,2018-06-28T07:00:00Z,06:06:00,12.5
ruckle,1,r1.,2018-06-28T06:36:00Z,2018-06-28T07:00:00Z,06:36:00,12.5
ruckle,1,r1.,2018-06-28T07:06:00Z,2018-06-28T07:00:00Z,07:06:00,12.5
ruckle,1,r1.,2018-06-28T07:36:00Z,2018-06-28T07:00:00Z,07:36:00,12.5
ruckle,1,r1.,2018-06-28T08:06:00Z,2018-06-28T07:00:00Z,08:06:00,12.5
ruckle,1,r1.,2018-06-28T08:36:00Z,2018-06-28T07:00:00Z,08:36:00,13
ruckle,1,r1.,2018-06-28T09:06:00Z,2018-06-28T07:00:00Z,09:06:00,14
ruckle,1,r1.,2018-06-28T09:36:00Z,2018-06-28T07:00:00Z,09:36:00,14.5
ruckle,1,r1.,2018-06-28T10:06:00Z,2018-06-28T07:00:00Z,10:06:00,17.5
ruckle,1,r1.,2018-06-28T10:36:00Z,2018-06-28T07:00:00Z,10:36:00,19
ruckle,1,r1.,2018-06-28T11:06:00Z,2018-06-28T07:00:00Z,11:06:00,19
ruckle,1,r1.,2018-06-28T11:36:00Z,2018-06-28T07:00:00Z,11:36:00,21.5
ruckle,1,r1.,2018-06-28T12:06:00Z,2018-06-28T07:00:00Z,12:06:00,23
ruckle,1,r1.,2018-06-28T12:36:00Z,2018-06-28T07:00:00Z,12:36:00,20.5
ruckle,1,r1.,2018-06-28T13:06:00Z,2018-06-28T07:00:00Z,13:06:00,19.5
ruckle,1,r1.,2018-06-28T13:36:00Z,2018-06-28T07:00:00Z,13:36:00,18.5
ruckle,1,r1.,2018-06-28T14:06:00Z,2018-06-28T07:00:00Z,14:06:00,22.5
ruckle,1,r1.,2018-06-28T14:36:00Z,2018-06-28T07:00:00Z,14:36:00,20.5
ruckle,1,r1.,2018-06-28T15:06:00Z,2018-06-28T07:00:00Z,15:06:00,13.5
ruckle,1,r1.,2018-06-28T15:36:00Z,2018-06-28T07:00:00Z,15:36:00,12.5
ruckle,1,r1.,2018-06-28T16:06:00Z,2018-06-28T07:00:00Z,16:06:00,12.5
ruckle,1,r1.,2018-06-28T16:36:00Z,2018-06-28T07:00:00Z,16:36:00,13
ruckle,1,r1.,2018-06-28T17:06:00Z,2018-06-28T07:00:00Z,17:06:00,12.5
ruckle,1,r1.,2018-06-28T17:36:00Z,2018-06-28T07:00:00Z,17:36:00,12.5
ruckle,1,r1.,2018-06-28T18:06:00Z,2018-06-28T07:00:00Z,18:06:00,12
ruckle,1,r1.,2018-06-28T18:36:00Z,2018-06-28T07:00:00Z,18:36:00,12
ruckle,1,r1.,2018-06-28T19:06:00Z,2018-06-28T07:00:00Z,19:06:00,11.5
ruckle,1,r1.,2018-06-28T19:36:00Z,2018-06-28T07:00:00Z,19:36:00,12
ruckle,1,r1.,2018-06-28T20:06:00Z,2018-06-28T07:00:00Z,20:06:00,12
ruckle,1,r1.,2018-06-28T20:36:00Z,2018-06-28T07:00:00Z,20:36:00,12
ruckle,1,r1.,2018-06-28T21:06:00Z,2018-06-28T07:00:00Z,21:06:00,12
ruckle,1,r1.,2018-06-28T21:36:00Z,2018-06-28T07:00:00Z,21:36:00,12
ruckle,1,r1.,2018-06-28T22:06:00Z,2018-06-28T07:00:00Z,22:06:00,12
ruckle,1,r1.,2018-06-28T22:36:00Z,2018-06-28T07:00:00Z,22:36:00,12
ruckle,1,r1.,2018-06-28T23:06:00Z,2018-06-28T07:00:00Z,23:06:00,12
ruckle,1,r1.,2018-06-28T23:36:00Z,2018-06-28T07:00:00Z,23:36:00,12
ruckle,1,r1.,2018-06-29T00:06:00Z,2018-06-29T07:00:00Z,00:06:00,12
ruckle,1,r1.,2018-06-29T00:36:00Z,2018-06-29T07:00:00Z,00:36:00,12.5
ruckle,1,r1.,2018-06-29T01:06:00Z,2018-06-29T07:00:00Z,01:06:00,12.5
ruckle,1,r1.,2018-06-29T01:36:00Z,2018-06-29T07:00:00Z,01:36:00,12.5
ruckle,1,r1.,2018-06-29T02:06:00Z,2018-06-29T07:00:00Z,02:06:00,12.5
ruckle,1,r1.,2018-06-29T02:36:00Z,2018-06-29T07:00:00Z,02:36:00,12
ruckle,1,r1.,2018-06-29T03:06:00Z,2018-06-29T07:00:00Z,03:06:00,12.5
ruckle,1,r1.,2018-06-29T03:36:00Z,2018-06-29T07:00:00Z,03:36:00,12.5
ruckle,1,r1.,2018-06-29T04:06:00Z,2018-06-29T07:00:00Z,04:06:00,12.5
ruckle,1,r1.,2018-06-29T04:36:00Z,2018-06-29T07:00:00Z,04:36:00,12.5
ruckle,1,r1.,2018-06-29T05:06:00Z,2018-06-29T07:00:00Z,05:06:00,12.5
ruckle,1,r1.,2018-06-29T05:36:00Z,2018-06-29T07:00:00Z,05:36:00,12.5
ruckle,1,r1.,2018-06-29T06:06:00Z,2018-06-29T07:00:00Z,06:06:00,12.5
ruckle,1,r1.,2018-06-29T06:36:00Z,2018-06-29T07:00:00Z,06:36:00,12.5
